text,edge,slot,intent
what are the coach fares from charlotte to la wednesday night,what are the coach fares from charlotte to la wednesday night,O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day,atis_airfare
could you tell me what the abbreviation us stands for,could you tell me what the abbreviation us stands for,O O O O O O O B-airline_code O O,atis_abbreviation
could you give me a flight between pittsburgh and philadelphia,could you give me a flight between pittsburgh and philadelphia,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
show me the flights from san diego to newark,show me the flights from san diego to newark,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
can i have a list of all the thursday flights from baltimore to atlanta that leave after 1 pm,can i have a list of all the thursday flights from baltimore to atlanta that leave after 1 pm,O O O O O O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_flight
what is the latest flight from philadelphia to boston,what is the latest flight from philadelphia to boston,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what are the flights from baltimore to dallas on sunday afternoon,what are the flights from baltimore to dallas on sunday afternoon,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day,atis_flight
show me airlines with flights from pittsburgh to boston please,show me airlines with flights from pittsburgh to boston please,O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_airline
i'd like to know the earliest flight from boston to san francisco,i'd like to know the earliest flight from boston to san francisco,O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
list flights from philadelphia to dallas that stop in atlanta,list flights from philadelphia to dallas that stop in atlanta,O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name,atis_flight
show me one way flights from tampa to st. louis departing before 10 am,show me one way flights from tampa to st. louis departing before 10 am,O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_flight
what ground transportation is available in denver,what ground transportation is available in denver,O O O O O O B-city_name,atis_ground_service
i need a thursday flight from pittsburgh to baltimore arriving in baltimore before 9 o'clock,i need a thursday flight from pittsburgh to baltimore arriving in baltimore before 9 o'clock,O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
list the number of flights arriving in dallas fort worth from boston before noon,list the number of flights arriving in dallas fort worth from boston before noon,O O O O O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-fromloc.city_name B-arrive_time.time_relative B-arrive_time.time,atis_flight_no
what is the round trip fare on continental 1291 from dallas to san francisco and return,what is the round trip fare on continental 1291 from dallas to san francisco and return,O O O B-round_trip I-round_trip O O B-airline_name B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-round_trip,atis_airfare
show flights from denver into san francisco,show flights from denver into san francisco,O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
i would like a flight from washington to boston flight 324 on august twentieth,i would like a flight from washington to boston flight 324 on august twentieth,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-flight_number O B-depart_date.month_name B-depart_date.day_number,atis_flight
i need a flight from pittsburgh to new york departing after 5 pm,i need a flight from pittsburgh to new york departing after 5 pm,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_flight
i want a list of flights from pittsburgh to baltimore on thursday that arrive in baltimore before 10 am,i want a list of flights from pittsburgh to baltimore on thursday that arrive in baltimore before 10 am,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
what flights does delta have from dallas to denver after 5 o'clock,what flights does delta have from dallas to denver after 5 o'clock,O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_flight
what is the earliest flight from boston to san francisco on november seventh,what is the earliest flight from boston to san francisco on november seventh,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
i'd like information on a flight from denver to san francisco on united air,i'd like information on a flight from denver to san francisco on united air,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name O,atis_flight
and what are the flights from nashville to tacoma on the eighteenth again,and what are the flights from nashville to tacoma on the eighteenth again,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number O,atis_flight
list flights from denver to baltimore,list flights from denver to baltimore,O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what ground transportation is available at the atlanta airport,what ground transportation is available at the atlanta airport,O O O O O O O B-airport_name I-airport_name,atis_ground_service
does any airline offer dc10 service between denver and boston,does any airline offer dc10 service between denver and boston,O O O O B-aircraft_code O O B-fromloc.city_name O B-toloc.city_name,atis_airline
i would like to fly from st. paul to san jose monday morning from san jose to houston tuesday morning and from houston to st. paul on wednesday morning,i would like to fly from st. paul to san jose monday morning from san jose to houston tuesday morning and from houston to st. paul on wednesday morning,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day,atis_flight
list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,O O O O O O B-fromloc.city_name B-or B-fromloc.city_name B-or B-fromloc.city_name O O O B-toloc.city_name,atis_flight
what flights are currently available between boston and dallas fort worth,what flights are currently available between boston and dallas fort worth,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,atis_flight
show me round trip fares from denver to philadelphia,show me round trip fares from denver to philadelphia,O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
list all american airlines flights from phoenix to milwaukee on wednesday,list all american airlines flights from phoenix to milwaukee on wednesday,O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
i need a connecting flight on continental on june fifth from chicago to seattle,i need a connecting flight on continental on june fifth from chicago to seattle,O O O B-connect O O B-airline_name O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name,atis_flight
which airlines are represented in the database,which airlines are represented in the database,O O O O O O O,atis_airline
what is the first flight from boston to dallas,what is the first flight from boston to dallas,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight
on monday i would like to travel from charlotte north carolina to phoenix arizona i would like to arrive in phoenix before 4 pm,on monday i would like to travel from charlotte north carolina to phoenix arizona i would like to arrive in phoenix before 4 pm,O B-depart_date.day_name O O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name O O O O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
what is the fare going from atlanta to boston one way on november seventh,what is the fare going from atlanta to boston one way on november seventh,O O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.month_name B-depart_date.day_number,atis_airfare
list all flights arriving at general mitchell international,list all flights arriving at general mitchell international,O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name,atis_flight
please show me airlines with flights from denver to boston stop philadelphia,please show me airlines with flights from denver to boston stop philadelphia,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name,atis_airline
what flights are there from atlanta to baltimore,what flights are there from atlanta to baltimore,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
list the flights from philadelphia to san francisco via dallas,list the flights from philadelphia to san francisco via dallas,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-stoploc.city_name,atis_flight
which flight from pittsburgh to baltimore carries the smallest number of passengers,which flight from pittsburgh to baltimore carries the smallest number of passengers,O O O B-fromloc.city_name O B-toloc.city_name O O B-mod O O O,atis_flight
which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,O O O O B-mod O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number,atis_airline
is there a flight leaving at 1505 from pittsburgh to baltimore on july twenty fifth 1991,is there a flight leaving at 1505 from pittsburgh to baltimore on july twenty fifth 1991,O O O O O O B-depart_time.time O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number B-depart_date.year,atis_flight
what flights go from pittsburgh to denver after 2 pm,what flights go from pittsburgh to denver after 2 pm,O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_flight
does continental fly from boston to san francisco with a stop in denver,does continental fly from boston to san francisco with a stop in denver,O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name,atis_flight
what flights are there from baltimore to newark,what flights are there from baltimore to newark,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
show me the flights to and from love field,show me the flights to and from love field,O O O O O O O B-fromloc.airport_name I-fromloc.airport_name,atis_flight
what is the cheapest flight from denver to pittsburgh on july twenty sixth,what is the cheapest flight from denver to pittsburgh on july twenty sixth,O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number,atis_flight
show me all flights from san diego to miami with a stop in denver,show me all flights from san diego to miami with a stop in denver,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name,atis_flight
us 3724 baltimore to philadelphia what is the fare,us 3724 baltimore to philadelphia what is the fare,B-airline_code B-flight_number B-fromloc.city_name O B-toloc.city_name O O O O,atis_airfare
list the three earliest flights from atlanta to philadelphia on wednesday,list the three earliest flights from atlanta to philadelphia on wednesday,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
please list all flights from philadelphia to boston,please list all flights from philadelphia to boston,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
okay show me all the flights to baltimore,okay show me all the flights to baltimore,O O O O O O O B-toloc.city_name,atis_flight
show me fares from houston to las vegas,show me fares from houston to las vegas,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
i need a flight from indianapolis to houston on twa,i need a flight from indianapolis to houston on twa,O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_code,atis_flight
list all flights on continental departing on monday before noon from denver to chicago,list all flights on continental departing on monday before noon from denver to chicago,O O O O B-airline_name O O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time O B-fromloc.city_name O B-toloc.city_name,atis_flight
now i need flights leaving from atlanta and arriving in philadelphia on wednesday morning,now i need flights leaving from atlanta and arriving in philadelphia on wednesday morning,O O O O O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.day_name B-arrive_time.period_of_day,atis_flight
flights from dc to denver,flights from dc to denver,O O B-fromloc.state_code O B-toloc.city_name,atis_flight
please show me any united flights including connections between boston and san francisco at 5 in the evening,please show me any united flights including connections between boston and san francisco at 5 in the evening,O O O O B-airline_name O O B-connect O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time O O B-depart_time.period_of_day,atis_flight
i would like information for flights from baltimore to dallas on early tuesday morning,i would like information for flights from baltimore to dallas on early tuesday morning,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_mod B-depart_date.day_name B-depart_time.period_of_day,atis_flight
may i have a listing of flight numbers from columbus ohio to minneapolis minnesota on monday,may i have a listing of flight numbers from columbus ohio to minneapolis minnesota on monday,O O O O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name,atis_flight_no
flight numbers from minneapolis to long beach on june twenty six,flight numbers from minneapolis to long beach on june twenty six,O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number,atis_flight_no
i need a flight from philadelphia to denver,i need a flight from philadelphia to denver,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
give me american airlines from milwaukee to phoenix on saturday and sunday,give me american airlines from milwaukee to phoenix on saturday and sunday,O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_name,atis_flight
show me flights from baltimore to dallas,show me flights from baltimore to dallas,O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
find me the earliest flight from boston to denver that serves breakfast,find me the earliest flight from boston to denver that serves breakfast,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description,atis_flight
show me the flights from st. petersburg to toronto that arrive early in the morning,show me the flights from st. petersburg to toronto that arrive early in the morning,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_time.period_mod O O B-arrive_time.period_of_day,atis_flight
show me all flights from atlanta to dallas round trip less than 1100 dollars,show me all flights from atlanta to dallas round trip less than 1100 dollars,O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip B-cost_relative O B-fare_amount I-fare_amount,atis_flight
i want to make a round trip flight from washington to san francisco and return,i want to make a round trip flight from washington to san francisco and return,O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O,atis_flight
which flights depart los angeles destination charlotte that leave on a monday morning,which flights depart los angeles destination charlotte that leave on a monday morning,O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-depart_date.day_name B-depart_time.period_of_day,atis_flight
what stops does dl 838 make from san francisco to atlanta,what stops does dl 838 make from san francisco to atlanta,O B-flight_stop O B-airline_code B-flight_number O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
show me all flights from boston to denver which arrive in denver wednesday before noon,show me all flights from boston to denver which arrive in denver wednesday before noon,O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time,atis_flight
i would like the first flight from toronto to montreal next friday,i would like the first flight from toronto to montreal next friday,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name,atis_flight
what is the cheapest flight from boston to san francisco,what is the cheapest flight from boston to san francisco,O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
flights and fares from denver to oakland,flights and fares from denver to oakland,O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight#atis_airfare
what limousine service in los angeles,what limousine service in los angeles,O B-transport_type O O B-city_name I-city_name,atis_ground_service
i'd like to go from boston to denver at 9 o'clock saturday night,i'd like to go from boston to denver at 9 o'clock saturday night,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time I-depart_time.time B-depart_date.day_name B-depart_time.period_of_day,atis_flight
i want a flight from san diego to indianapolis that leaves tuesday afternoon,i want a flight from san diego to indianapolis that leaves tuesday afternoon,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day,atis_flight
now i'd like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta,now i'd like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta,O O O O B-flight_time O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight_time
what does the fare code f mean,what does the fare code f mean,O O O O O B-fare_basis_code O,atis_abbreviation
list all the airlines that fly into general mitchell international,list all the airlines that fly into general mitchell international,O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name,atis_airline
show me flights from san francisco to atlanta,show me flights from san francisco to atlanta,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
find me the earliest flight from boston to atlanta,find me the earliest flight from boston to atlanta,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight
show me the most expensive fare,show me the most expensive fare,O O O B-cost_relative I-cost_relative O,atis_airfare
please list all flights tuesday dallas atlanta,please list all flights tuesday dallas atlanta,O O O O B-depart_date.day_name B-fromloc.city_name B-fromloc.city_name,atis_flight
is there an airline that services boston dc and dallas,is there an airline that services boston dc and dallas,O O O O O O B-fromloc.city_name B-fromloc.state_code O B-fromloc.city_name,atis_airline
i'd like a flight from kansas city to los angeles that arrives in los angeles in the late afternoon,i'd like a flight from kansas city to los angeles that arrives in los angeles in the late afternoon,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-toloc.city_name I-toloc.city_name O O B-arrive_time.period_of_day I-arrive_time.period_of_day,atis_flight
what are all flights from philadelphia to denver on wednesdays,what are all flights from philadelphia to denver on wednesdays,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
what is fare code h,what is fare code h,O O O O B-fare_basis_code,atis_abbreviation
may i have a listing of flights from minneapolis to long beach california on tuesday,may i have a listing of flights from minneapolis to long beach california on tuesday,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O B-depart_date.day_name,atis_flight
show me all flights between san francisco and philadelphia for september fifteenth,show me all flights between san francisco and philadelphia for september fifteenth,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
show me flights denver to washington on thursday,show me flights denver to washington on thursday,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
please list the flights from phoenix to san diego,please list the flights from phoenix to san diego,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
i'm traveling to dallas from philadelphia,i'm traveling to dallas from philadelphia,O O O B-toloc.city_name O B-fromloc.city_name,atis_flight
what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas,what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas,O O O O O O O O O O O O O B-class_type I-class_type B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name,atis_aircraft
do you have a flight from boston to fort worth,do you have a flight from boston to fort worth,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
what is restriction ap57,what is restriction ap57,O O O B-restriction_code,atis_restriction
please list united flights between boston and denver departing at 9 am,please list united flights between boston and denver departing at 9 am,O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time I-depart_time.time,atis_flight
how far is the airport from downtown pittsburgh,how far is the airport from downtown pittsburgh,O O O O O O O B-fromloc.city_name,atis_distance
show me the evening flights from philadelphia to atlanta,show me the evening flights from philadelphia to atlanta,O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name,atis_flight
flights from nashville to seattle,flights from nashville to seattle,O O B-fromloc.city_name O B-toloc.city_name,atis_flight
ground transportation from airport in boston to downtown boston,ground transportation from airport in boston to downtown boston,O O O O O B-fromloc.city_name O O B-toloc.city_name,atis_ground_service
does lufthansa fly between boston and oakland,does lufthansa fly between boston and oakland,O B-airline_name O O B-fromloc.city_name O B-toloc.city_name,atis_flight
list round trip flights from orlando to kansas city,list round trip flights from orlando to kansas city,O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
flights from pittsburgh to newark,flights from pittsburgh to newark,O O B-fromloc.city_name O B-toloc.city_name,atis_flight
does united airlines fly from boston to dallas fort worth,does united airlines fly from boston to dallas fort worth,O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,atis_flight
how about flights from dallas to atlanta on wednesday morning,how about flights from dallas to atlanta on wednesday morning,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day,atis_flight
what is ewr,what is ewr,O O B-airport_code,atis_abbreviation
give me fares from atlanta to baltimore,give me fares from atlanta to baltimore,O O O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
find me a flight from atlanta to baltimore,find me a flight from atlanta to baltimore,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what is the fare for flights from denver to atlanta,what is the fare for flights from denver to atlanta,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
give me the flights and fares on december twenty seventh from indianapolis to orlando,give me the flights and fares on december twenty seventh from indianapolis to orlando,O O O O O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name,atis_flight#atis_airfare
show me all the prices of flights from baltimore to dallas,show me all the prices of flights from baltimore to dallas,O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
show me airline abbreviations,show me airline abbreviations,O O O O,atis_airline
show me all nationair flights from toronto,show me all nationair flights from toronto,O O O B-airline_name O O B-fromloc.city_name,atis_flight
show me evening flights to baltimore,show me evening flights to baltimore,O O B-period_of_day O O B-toloc.city_name,atis_flight
please show me all one way first class flights from indianapolis to memphis,please show me all one way first class flights from indianapolis to memphis,O O O O B-round_trip I-round_trip B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name,atis_flight
are there any flights from philadelphia to dallas which stop in atlanta,are there any flights from philadelphia to dallas which stop in atlanta,O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name,atis_flight
give me the round trip coach fare from baltimore to dallas,give me the round trip coach fare from baltimore to dallas,O O O B-round_trip I-round_trip B-class_type O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
what is the latest flight from san francisco to washington,what is the latest flight from san francisco to washington,O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
on a flight from san francisco to atlanta that leaves before 8 am is there such a flight,on a flight from san francisco to atlanta that leaves before 8 am is there such a flight,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O O O,atis_flight
show morning flights from philadelphia to dallas,show morning flights from philadelphia to dallas,O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name,atis_flight
now please give me the latest flight tomorrow on twa from milwaukee to tacoma,now please give me the latest flight tomorrow on twa from milwaukee to tacoma,O O O O O B-flight_mod O B-depart_date.today_relative O B-airline_code O B-fromloc.city_name O B-toloc.city_name,atis_flight
list all the flights that fly into general mitchell international,list all the flights that fly into general mitchell international,O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name,atis_flight
can you list the earliest flights from oakland to salt lake city on thursday,can you list the earliest flights from oakland to salt lake city on thursday,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name,atis_flight
what time does flight aa 459 depart,what time does flight aa 459 depart,O B-flight_time O O B-airline_code B-flight_number O,atis_flight_time
what ground transportation is available from the denver airport to downtown denver,what ground transportation is available from the denver airport to downtown denver,O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name,atis_ground_service
list all flights from orlando to kansas city then to minneapolis,list all flights from orlando to kansas city then to minneapolis,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-toloc.city_name,atis_flight
i'd like to go from detroit to san diego on wednesday evening june second,i'd like to go from detroit to san diego on wednesday evening june second,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-depart_date.month_name B-depart_date.day_number,atis_flight
where does flight ua 281 from boston to oakland stop,where does flight ua 281 from boston to oakland stop,O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name B-flight_stop,atis_flight
i would like the time your earliest flight from washington to philadelphia,i would like the time your earliest flight from washington to philadelphia,O O O O B-flight_time O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight_time
i would like an afternoon flight from denver colorado to dallas texas,i would like an afternoon flight from denver colorado to dallas texas,O O O O B-depart_time.period_of_day O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name,atis_flight
what flights are available from pittsburgh to baltimore on july twenty fifth 1991,what flights are available from pittsburgh to baltimore on july twenty fifth 1991,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number B-depart_date.year,atis_flight
what does dfw mean,what does dfw mean,O O B-airport_code O,atis_abbreviation
i would like an evening flight from pittsburgh to los angeles on june third,i would like an evening flight from pittsburgh to los angeles on june third,O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
show me all flights to dallas that are less than 1500 dollars round trip,show me all flights to dallas that are less than 1500 dollars round trip,O O O O O B-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip,atis_flight
show me all flights from boston to denver which arrive in denver wednesday before 6,show me all flights from boston to denver which arrive in denver wednesday before 6,O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time,atis_flight
are there any nonstop flights from san francisco to boston on thursdays,are there any nonstop flights from san francisco to boston on thursdays,O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_name,atis_flight
is there ground transportation from the airport in denver to downtown,is there ground transportation from the airport in denver to downtown,O O O O O O O O B-fromloc.city_name O O,atis_ground_service
what ground transportation is there in dallas,what ground transportation is there in dallas,O O O O O O B-city_name,atis_ground_service
flights from baltimore to dallas,flights from baltimore to dallas,O O B-fromloc.city_name O B-toloc.city_name,atis_flight
flights from new york city to montreal,flights from new york city to montreal,O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
i would like a to know the type of aircraft leaving from atlanta bound to boston on friday this week,i would like a to know the type of aircraft leaving from atlanta bound to boston on friday this week,O O O O O O O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-depart_date.day_name O O,atis_aircraft
i'd like a flight tomorrow evening from nashville to houston that includes dinner for tomorrow,i'd like a flight tomorrow evening from nashville to houston that includes dinner for tomorrow,O O O O B-depart_date.today_relative B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name O O B-meal_description O B-depart_date.today_relative,atis_flight
give me a list of flights between denver and oakland,give me a list of flights between denver and oakland,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
all right what i'd like to do is find the cheapest one way fare from boston to denver,all right what i'd like to do is find the cheapest one way fare from boston to denver,O O O O O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
what are the cheapest flights from pittsburgh to atlanta,what are the cheapest flights from pittsburgh to atlanta,O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name,atis_flight
which airlines have flights from denver to pittsburgh,which airlines have flights from denver to pittsburgh,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airline
what airlines fly between san francisco and denver,what airlines fly between san francisco and denver,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_airline
houston airports,houston airports,B-city_name O,atis_airport
i'd like to get a flight from washington to oakland with a stopover in dallas fort worth for september fifteenth,i'd like to get a flight from washington to oakland with a stopover in dallas fort worth for september fifteenth,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
